fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,gen,paramid,final_predicted,final_predicted_sd
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,1.0e-6,7.5,-0.1370392255296584,60.275385713,4,2309,-0.13706047031921875,0.009940205816173737
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,0.5,10.0,-0.13720651386611557,60.27360745825,4,2324,-0.13722349821924712,0.009941623486203017
split_12-14.csv,12428,CNS-S-GD,1,1.0,2.5,1.5,7.5,-0.13920835589750347,60.31193425325,4,1560,-0.1392237958933261,0.009686095049714813
split_12-14.csv,12428,CNS-S-GD,1,0.5,5.0,2.5,0.5,-0.1390281693407621,60.31367938125,4,926,-0.13902534177452783,0.009941640172890082
split_12-14.csv,12428,CNS-S-GD,1,0.25,0.5,2.5,0.5,-0.13831737857136994,60.316464210250004,4,436,-0.13832458457230137,0.009940773873189954
split_12-14.csv,12428,CNS-S-GD,1,1.0,10.0,1.5,5.0,-0.13872195035548357,60.2449817795,4,1706,-0.13872494815042816,0.009920077415806175
split_12-14.csv,12428,CNS-S-GD,1,0.75,7.5,1.0,1.0,-0.13940152809758538,60.3305600725,4,1305,-0.13938731454555817,0.009908147432217
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,1.0e-6,7.5,-0.1368668145488918,60.2994673875,4,2358,-0.1368877599035479,0.009941834914894063
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,7.5,1.0e-6,1.0e-6,-0.13991377361573037,60.2577966645,5,246,-0.13989789924723436,0.009907425044329767
split_12-14.csv,12428,CNS-S-GD,1,0.75,2.5,1.5,1.0e-6,-0.13884646741479914,60.2962955535,5,1212,-0.1388370810996286,0.009906280280621701
split_12-14.csv,12428,CNS-S-GD,1,1.5,5.0,2.5,7.5,-0.13852988877783862,60.303554076249995,5,1959,-0.13853154928121894,0.00994920815103767
split_12-14.csv,12428,CNS-S-GD,1,1.0,1.0,2.5,10.0,-0.13944486069779885,60.27023348275,5,1519,-0.1394415138094751,0.009722988432336557
split_12-14.csv,12428,CNS-S-GD,1,1.5,5.0,1.5,1.0,-0.1390506562471795,60.2613774375,5,1949,-0.13905075028625777,0.009921196059521483
split_12-14.csv,12428,CNS-S-GD,1,0.75,0.5,2.5,10.0,-0.13947845188714283,60.321431952000005,5,1127,-0.13947005940451004,0.009770673110703815
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0e-6,2.5,5.0,-0.13978498309229015,60.30736989225,5,47,-0.13977740521901785,0.009938531139299501
split_12-14.csv,12428,CNS-S-GD,1,2.5,0.5,2.5,2.5,-0.1394018307223743,60.3240196725,5,2153,-0.13937832752113108,0.009928438739771289
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0,2.5,2.5,-0.1395902411192614,60.262574433750004,5,144,-0.1395851007133643,0.009937257630175417
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,2.5,10.0,-0.1391972667128978,60.268405575,5,2401,-0.13918666975085706,0.009938812528631309
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,10.0,1.0e-6,5.0,-0.13963383274230365,60.2696942905,6,299,-0.13962426712076342,0.009947564595801582
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,5.0,1.0e-6,1.0,-0.13987388598885875,60.32752900875,6,199,-0.1398661038490021,0.009925755744714507
split_12-14.csv,12428,CNS-S-GD,1,1.0,10.0,2.5,10.0,-0.13884932926491447,60.263597833999995,6,1715,-0.13885016981210738,0.009944410394804532
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,2.5,5.0,-0.13927765202946812,60.293509823499996,6,2252,-0.13927622684200794,0.009940801226611428
split_12-14.csv,12428,CNS-S-GD,1,1.0,2.5,2.5,7.5,-0.13940717457907145,60.3298595275,6,1567,-0.1394033215600789,0.009904150930560475
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,1.0,10.0,-0.13716077489282388,60.2720652215,6,2387,-0.13717922761540446,0.009944101563672989
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,0.5,2.5,-0.1372506207536609,60.320411256,6,2223,-0.13726948753646986,0.009943137017112467
split_12-14.csv,12428,CNS-S-GD,1,0.5,10.0,1.0e-6,10.0,-0.13887357657970092,60.278127199,6,987,-0.13887114028806466,0.009949779093354077
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,2.5,1.5,2.5,-0.13976381224288356,60.284055242,6,186,-0.13975529416778698,0.009939318098745105
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0,0.25,7.5,-0.13713126199682452,60.26189800125,6,2169,-0.1371361251380685,0.009932254046645808
split_12-14.csv,12428,CNS-S-GD,1,1.0,2.5,1.0e-6,7.5,-0.13938546758241263,60.34846814525,7,1525,-0.1393692469803248,0.009905593798470986
split_12-14.csv,12428,CNS-S-GD,1,1.0,5.0,1.0e-6,0.5,-0.1393651705986722,60.26736099225,7,1570,-0.13935686537008996,0.009896126108404686
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,1.0e-6,5.0,-0.13685614269674304,60.311351191750006,7,2357,-0.13687289861862997,0.009949320210550368
split_12-14.csv,12428,CNS-S-GD,1,0.5,7.5,2.5,7.5,-0.1383037233498926,60.22756452425,7,979,-0.13830901978380256,0.009943410256285527
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,10.0,2.5,5.0,-0.13914006468775905,60.311225068750005,7,341,-0.13913553560055822,0.009939449492602448
split_12-14.csv,12428,CNS-S-GD,1,1.0,1.0,2.5,5.0,-0.13925233698909448,60.34536203925,7,1517,-0.13923888872880513,0.009871755207908438
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,1.0,2.5,-0.1372213841510452,60.329613893250006,7,2384,-0.13723650615404798,0.009930706707689464
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,0.25,5.0,-0.13716907502305478,60.279580271,7,2315,-0.13718332941762035,0.009947385967088013
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,0.25,2.5,-0.13693533296476107,60.33996011825,7,2314,-0.13695085982060445,0.009942007531152541
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0e-6,1.5,10.0,-0.1370777195018025,60.26954736,7,2100,-0.13709039354464983,0.009933532460540347
split_12-14.csv,12428,CNS-S-GD,1,1.0,10.0,2.5,2.5,-0.13880238361399236,60.259568159,8,1712,-0.13880691148724011,0.00993631318025563
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,2.5,0.25,1.0,-0.1399248451114365,60.32970576174999,8,157,-0.13991684718805802,0.009938433911566832
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,1.5,5.0,-0.1391966180293987,60.2592789565,8,1902,-0.13918516973575268,0.009923427481674846
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,2.5,1.0,-0.13920983804650758,60.2028116005,8,2348,-0.1392044011992006,0.009926618867395575
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,2.5,0.5,-0.13905166054759233,60.35004478525,8,1906,-0.13904858888428423,0.009932890037932024
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,1.5,10.0,-0.13869269031945108,60.3026983385,8,2247,-0.1386920609478713,0.009944334874142232
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,1.0e-6,5.0,-0.1372124369975288,60.247683828999996,8,2259,-0.1372253013975034,0.009947769277182477
split_12-14.csv,12428,CNS-S-GD,1,1.0,1.0e-6,1.5,1.0e-6,-0.13842088800586388,60.273965618,8,1408,-0.13843038114213047,0.009903044691137836
split_12-14.csv,12428,CNS-S-GD,1,0.25,7.5,2.5,10.0,-0.13895589683923018,60.328352521750006,8,637,-0.13895710603613534,0.009945540013547338
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,0.5,7.5,-0.13671385389568433,60.27988690025,8,2225,-0.13674050271591953,0.009925564418065294
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0,2.5,10.0,-0.13946060770832422,60.317658277,9,147,-0.139460980666895,0.009904519336923481
split_12-14.csv,12428,CNS-S-GD,1,1.5,7.5,1.5,2.5,-0.1393434418739689,60.30963813825,9,1999,-0.13933558723887843,0.009929082910163032
split_12-14.csv,12428,CNS-S-GD,1,0.75,2.5,1.5,1.0,-0.13890362442003334,60.32695804075,9,1214,-0.13893066137148752,0.009866360306983502
split_12-14.csv,12428,CNS-S-GD,1,0.5,2.5,1.0e-6,10.0,-0.13877729451310458,60.27388967425,9,840,-0.13878682929288264,0.00992723888259192
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,10.0,2.5,0.5,-0.13921525142174715,60.305455974750004,9,338,-0.13921231458774969,0.00993144748325698
split_12-14.csv,12428,CNS-S-GD,1,1.5,10.0,1.0,7.5,-0.13914610098875824,60.330084955000004,9,2043,-0.13913495425498165,0.009932590817101659
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0e-6,0.5,2.5,-0.13705437149097444,60.30037518175,9,2076,-0.13706074577364954,0.009920126367594723
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,0.25,1.0e-6,-0.1367441092346061,60.276403705,9,2360,-0.13675659238833301,0.00991598955210717
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0e-6,2.5,7.5,-0.1393589428583894,60.280364496749996,9,2106,-0.13935294171686538,0.009947781806608456
split_12-14.csv,12428,CNS-S-GD,1,1.5,7.5,1.5,10.0,-0.13924547070015855,60.32430309,9,2002,-0.1392256444419007,0.009920102884882109
split_12-14.csv,12428,CNS-S-GD,1,1.5,7.5,2.5,1.0e-6,-0.13892931750785226,60.2648992435,10,2003,-0.13892992083906253,0.009922678165660436
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,1.0e-6,1.0e-6,-0.1372735268211934,60.25180800175001,10,1863,-0.13729475212454195,0.009923492858634038
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,2.5,1.0e-6,-0.1394461051293011,60.30321394475,10,2297,-0.13943876040097689,0.00994735741789788
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,10.0,1.0e-6,7.5,-0.13961972291191146,60.30324752200001,10,300,-0.13961267172365985,0.009947912629056168
split_12-14.csv,12428,CNS-S-GD,1,1.5,1.0e-6,2.5,5.0,-0.13728593777955353,60.32995740525,10,1762,-0.13730533630674535,0.009922562524674858
split_12-14.csv,12428,CNS-S-GD,1,1.0,5.0,2.5,10.0,-0.13896485353530272,60.27922932225,10,1617,-0.13896336655376973,0.009934254600884308
split_12-14.csv,12428,CNS-S-GD,1,2.5,0.5,0.75,5.0,-0.1373106778685122,60.34509544725,10,2133,-0.1372831353832853,0.00984254434115628
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0,2.5,10.0,-0.1394464617335442,60.31455344775,10,2205,-0.13943252218036162,0.00993026353389807
split_12-14.csv,12428,CNS-S-GD,1,1.5,0.5,1.0,7.5,-0.1373329259774933,60.29724946975,10,1798,-0.1373297907437347,0.009915494142773847
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0e-6,1.0e-6,5.0,-0.1369729324730604,60.27117951225,10,2063,-0.1369934842653598,0.009908590221529146
split_12-14.csv,12428,CNS-S-GD,1,0.75,1.0,2.5,7.5,-0.13920093835209152,60.300931651499994,11,1175,-0.1392003384121884,0.00991712556277801
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,2.5,5.0,-0.13917498611847365,60.300864346249995,11,2399,-0.13916901931059947,0.00991687813865916
split_12-14.csv,12428,CNS-S-GD,1,0.25,5.0,1.0e-6,10.0,-0.13904207648971434,60.30069450575,11,546,-0.13903233040421784,0.009933889896489865
split_12-14.csv,12428,CNS-S-GD,1,1.5,1.0,1.5,10.0,-0.1373710904486516,60.29566126175,11,1855,-0.137386646348406,0.00990035328744544
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,2.5,7.5,-0.1392389409255478,60.330788279,11,2253,-0.1392370242235709,0.009932150182046079
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,0.75,1.0e-6,-0.1371493552402323,60.30359118475,11,2325,-0.137153832373764,0.009913698929226713
split_12-14.csv,12428,CNS-S-GD,1,1.5,5.0,1.0e-6,7.5,-0.13738923254419066,60.2639355615,11,1917,-0.13740254697285786,0.009906512915210395
split_12-14.csv,12428,CNS-S-GD,1,0.5,1.0,1.0,1.0e-6,-0.13956824937394371,60.32461685575001,11,813,-0.13957188894320474,0.009920582346188847
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0,1.0,1.0,-0.1372745150650097,60.35965974175,11,2187,-0.13727624441220934,0.009912878288945359
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,7.5,2.5,2.5,-0.1390529251642576,60.24797633625,11,291,-0.1390523944367776,0.00994779348831708
split_12-14.csv,12428,CNS-S-GD,1,0.25,0.5,1.0e-6,7.5,-0.13930224664199345,60.286619225500004,12,398,-0.1394541276407168,0.009261804291995473
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,5.0,1.5,10.0,-0.13935665893658286,60.3046664905,12,238,-0.1393502391919118,0.009935046214277602
split_12-14.csv,12428,CNS-S-GD,1,0.25,5.0,0.75,7.5,-0.1390829214364377,60.352912093,12,566,-0.1390871162312821,0.00988939534869592
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,10.0,2.5,7.5,-0.13919536072046093,60.26775565925,12,342,-0.13919122770996115,0.009944347935310006
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0,1.0e-6,5.0,-0.1401781106826686,60.25484357275,12,103,-0.14017175764036574,0.009936100683192277
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,1.5,10.0,-0.13919112604715878,60.262322415,12,2296,-0.13917273935335325,0.009905163678097182
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,5.0,1.0e-6,7.5,-0.13975875897435205,60.297225958,12,202,-0.139742332733771,0.00989186554150291
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0e-6,1.0e-6,7.5,-0.14483478542167302,60.296542765,12,6,-0.14462155396598889,0.00977426134585034
split_12-14.csv,12428,CNS-S-GD,1,0.5,5.0,1.0e-6,5.0,-0.13888550921954948,60.28197291125,12,887,-0.13887999862364436,0.009929216654461935
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,0.5,1.0e-6,7.5,-0.14042019093321975,60.303969851750004,12,55,-0.14044342523842518,0.009157068781493657
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,1.0e-6,2.5,-0.1371561644391232,60.342716778500005,13,2258,-0.1371741925655146,0.009926699791552092
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,2.5,1.0,10.0,-0.13976863185392033,60.3233587895,13,182,-0.13973679093333308,0.009814047305505353
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,7.5,1.0e-6,10.0,-0.13967060070661527,60.355842499249995,13,252,-0.13964741986638513,0.009903346167830417
split_12-14.csv,12428,CNS-S-GD,1,1.0,1.0e-6,1.0e-6,2.5,-0.138186444195835,60.29901968725,13,1376,-0.13820059442827223,0.009920478042919628
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,2.5,2.5,-0.13925625618276097,60.31388610475,13,2349,-0.13925422638797214,0.009935144631391828
split_12-14.csv,12428,CNS-S-GD,1,0.5,5.0,2.5,5.0,-0.13874091461778337,60.2934437195,13,929,-0.1387402420642629,0.009944077771156249
split_12-14.csv,12428,CNS-S-GD,1,1.5,1.0e-6,1.0e-6,10.0,-0.1362714646787925,60.285833196750005,13,1722,-0.1362917953983091,0.009777990722380815
split_12-14.csv,12428,CNS-S-GD,1,1.5,0.5,1.0e-6,10.0,-0.13633599971274213,60.261259728499994,13,1771,-0.1363419541528508,0.00976269023187317
split_12-14.csv,12428,CNS-S-GD,1,1.5,1.0e-6,1.0,2.5,-0.13710643595255026,60.372333405999996,13,1747,-0.13711788760129887,0.009838201605835852
split_12-14.csv,12428,CNS-S-GD,1,0.5,2.5,1.5,10.0,-0.1388749537922602,60.37975463375,13,875,-0.13890172344009405,0.009791335882735914
split_12-14.csv,12428,CNS-S-GD,1,1.0,10.0,1.5,1.0,-0.13912788031355247,60.301257887000006,14,1704,-0.13912817504790628,0.00990826462754178
split_12-14.csv,12428,CNS-S-GD,1,0.75,7.5,1.0e-6,5.0,-0.1387849633815796,60.2751735815,14,1279,-0.13878121447274092,0.009943164272399996
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,1.0,1.0,-0.13730379750933408,60.29050873125,14,2334,-0.13731073017037046,0.009905007181747475
split_12-14.csv,12428,CNS-S-GD,1,0.25,7.5,2.5,1.0e-6,-0.13885198154490244,60.32543743875,14,631,-0.13884746938676462,0.009901266990935182
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,7.5,1.5,1.0e-6,-0.1388424576913724,60.3086537995,14,281,-0.1388532888900002,0.009897696118711139
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,1.0e-6,5.0,-0.13641453652282667,60.247999097,14,1867,-0.13644531371881505,0.009909536931003977
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,1.0e-6,1.0,-0.13710692327002078,60.27335881925,14,2257,-0.1371209789300959,0.009936569477048459
split_12-14.csv,12428,CNS-S-GD,1,1.0,5.0,1.0,5.0,-0.13838703817564768,60.39843904475,14,1601,-0.13839135294046984,0.009921013765079452
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,2.5,7.5,-0.13928005813418565,60.294746181,14,2351,-0.13927704449479478,0.009946788031936661
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,2.5,2.5,5.0,-0.13938166172570524,60.27548524375,14,194,-0.13938251189637343,0.009943851364256306
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,2.5,10.0,-0.13881796763999416,60.353120543749995,15,2303,-0.1388271181436513,0.009911666627891516
split_12-14.csv,12428,CNS-S-GD,1,1.5,10.0,2.5,5.0,-0.13897201187581668,60.3062313365,15,2056,-0.1389728921750849,0.00988457782505288
split_12-14.csv,12428,CNS-S-GD,1,1.5,10.0,2.5,7.5,-0.13893468782043109,60.309606739,15,2057,-0.13893748439900405,0.009937838549703617
split_12-14.csv,12428,CNS-S-GD,1,0.75,10.0,1.0,2.5,-0.1391854375174447,60.260274263,15,1355,-0.1391683431584484,0.0099245744549215
split_12-14.csv,12428,CNS-S-GD,1,1.5,1.0e-6,1.5,1.0,-0.13801178067224312,60.295171571,15,1753,-0.13801701671814273,0.009910038113474684
split_12-14.csv,12428,CNS-S-GD,1,0.25,7.5,0.25,2.5,-0.13904699193041226,60.3060269425,15,599,-0.13904722484012053,0.00994000167442629
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0e-6,1.0e-6,1.0e-6,-0.1390407981455244,60.33607819950001,15,2059,-0.13901208188066475,0.009894696272063668
split_12-14.csv,12428,CNS-S-GD,1,1.0,5.0,1.0,1.0e-6,-0.13886035705718747,60.279700533749995,15,1597,-0.13886524065408246,0.009911808328049287
split_12-14.csv,12428,CNS-S-GD,1,2.5,0.5,0.75,1.0e-6,-0.1370762069914764,60.26830454225,15,2129,-0.13710408761729884,0.009873185632591184
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,2.5,2.5,-0.13873719559646627,60.32853205225,15,2398,-0.1387356406885817,0.00993684059166406
split_12-14.csv,12428,CNS-S-GD,1,1.5,7.5,1.0,7.5,-0.13932525787956165,60.286896634,16,1994,-0.1393036541477153,0.009903036274352095
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,1.0e-6,7.5,-0.1372442995432498,60.260789568,16,2260,-0.1372492704887184,0.00991818947448686
split_12-14.csv,12428,CNS-S-GD,1,2.5,7.5,2.5,5.0,-0.13927246006225816,60.312619324,16,2350,-0.1392668838783664,0.00991952424287156
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0e-6,1.5,2.5,-0.14101343074256245,60.2257590765,16,39,-0.14099986802029776,0.009911878986149807
split_12-14.csv,12428,CNS-S-GD,1,1.5,5.0,0.75,2.5,-0.13939834195278344,60.294980923,16,1936,-0.13937939853933837,0.009901559906018329
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,7.5,1.0e-6,1.0,-0.13972967362527436,60.270420300249995,16,248,-0.13972804335387884,0.009896768354944841
split_12-14.csv,12428,CNS-S-GD,1,1.5,10.0,0.5,1.0e-6,-0.13678837634601404,60.39351329350001,16,2024,-0.13680835967133584,0.009900315213090507
split_12-14.csv,12428,CNS-S-GD,1,0.25,1.0e-6,2.5,7.5,-0.13954282539262167,60.3347003205,16,391,-0.13952520610355557,0.009894145275245923
split_12-14.csv,12428,CNS-S-GD,1,0.5,10.0,1.5,1.0e-6,-0.1390803459899149,60.23642815675,16,1016,-0.13907941023655973,0.00988205453989268
split_12-14.csv,12428,CNS-S-GD,1,0.25,5.0,2.5,2.5,-0.1386959782527137,60.342934543750005,16,585,-0.13869672857864,0.009942904370770368
